name,role,course_id,title,level
Austin Rivera,Primary,DS2002,Data Science Systems,200
Heywood Williams-Tracy,TA,DS2002,Data Science Systems,200
Jim Lark,Primary,APMA3120,Statistics,300
Robert Riggs,Primary,SYS3021,Deterministic Decision Models,300
Sara Riggs,Primary,SYS3023,Human Machine Interface,300
Robert Riggs,Primary,SYS3055,Systems Engineering Colloquium I,300
Laura Barnes,Primary,SYS3501,Programming for Information Engineering,300
Matthew Bolton,Primary,SYS3501,Programming for Information Engineering,300
